,A69-1008-32,A69-1008-33,A69-1008-34,A69-1008-36,A69-1303-13038,A69-1303-2140,A69-1303-2145,A69-1303-2146,A69-1303-2147,A69-1303-2148,A69-1303-2149,A69-1303-2150,A69-1303-2151,A69-1303-44590,A69-1303-44591,A69-1303-44594,A69-1303-44607,A69-1303-52993,A69-1303-52994,A69-1303-52995,A69-1303-55114,A69-1303-55115,A69-1303-55116,A69-1303-55117,A69-1303-55119,A69-1303-55120,A69-1303-55121,A69-1303-55122,A69-1303-55123,A69-1303-55124,A69-1303-55125,A69-1303-55126,A69-1303-55127,A69-1303-56653,A69-1303-63423,A69-1303-63424,A69-1303-63425,A69-1303-63427,A69-1303-63429,A69-1303-63430,A69-1303-63433,A69-1303-63435,A69-1303-63436,A69-1303-63437,A69-1303-7949,A69-1303-7950,A69-1303-7951,A69-1303-7952,A69-1303-7955,A69-1303-7959,A69-1303-7960,A69-1303-7961,A69-1303-7963,A69-1303-7964,A69-1303-7966,A69-1303-7967,RI
18H,0,0,0.011695906,0.007575758,0.005555556,0,0.058823529,0,0,0.02173913,0.026315789,0.006622517,0.023696682,0,0.038461538,0,0.045454545,0.015873016,0.049180328,0.045454545,0.043478261,0.00625,0.033333333,0,0,0,0.01459854,0.020833333,0.048484848,0,0.007692308,0,0.070175439,0.041420118,0,0,0,0.023076923,0.037735849,0.027027027,0.010309278,0,0.018518519,0.032258065,0.048192771,0,0.013245033,0.060606061,0.017391304,0.007042254,0.032967033,0.006993007,0,0,0.004975124,0,0.017554523
3H,0,0,0.087719298,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007042254,0,0,0,0,0.004975124,0,0.002051575
AA,0,0,0.076023392,0.007575758,0,0,0.058823529,0,0,0,0.013157895,0.006622517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017391304,0.007042254,0,0,0,0,0.009950249,0,0.00351048
ATLA,0,0.04040404,0.076023392,0.106060606,0.005555556,0,0,0.043478261,0.01025641,0.239130435,0,0.152317881,0.203791469,0,0,0,0,0.349206349,0.352459016,0.272727273,0.739130435,0.2125,0.866666667,0.289473684,0.28,0.313559322,0.525547445,0.291666667,0.345454545,0.588235294,0.215384615,0.485148515,0.50877193,0.035502959,0,0.433333333,0.333333333,0.261538462,0.018867925,0.027027027,0.195876289,0.464285714,0.611111111,0.161290323,0,0.26,0.337748344,0,0.234782609,0.14084507,0.230769231,0.405594406,0,0.055555556,0.333333333,0.118811881,0.217367084
BLRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000330688
BR,0.009615385,0.292929293,0,0.007575758,0.044444444,0,0,0,0.041025641,0.02173913,0,0,0.004739336,0,0,0,0,0,0,0,0,0,0,0.035087719,0.008,0.008474576,0,0,0,0,0,0.00990099,0,0.00591716,0,0,0,0,0,0,0,0.071428571,0.037037037,0,0.036144578,0,0.039735099,0.060606061,0,0,0,0.013986014,0,0.011111111,0.004975124,0.02970297,0.014181714
BSBA,0,0,0,0,0.005555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037735849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000773061
CEBA,0,0,0,0,0,0,0.019607843,0.017391304,0,0,0,0,0,0,0,0,0,0,0.008196721,0,0,0,0.033333333,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0.017391304,0,0.010989011,0,0,0,0,0,0.003135772
CESC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002645503
CK,0,0.01010101,0.093567251,0.037878788,0.016666667,0.035714286,0.078431373,0.043478261,0.661538462,0.043478261,0.105263158,0.17218543,0.056872038,0.1875,0.115384615,0,0,0.126984127,0.016393443,0,0.043478261,0.0375,0,0.061403509,0.056,0.033898305,0.03649635,0.041666667,0.006060606,0.058823529,0.046153846,0.188118812,0,0.01183432,0,0.166666667,0,0.046153846,0.018867925,0,0.030927835,0.357142857,0,0,0.060240964,0.066666667,0.052980132,0.151515152,0.043478261,0.147887324,0.043956044,0.083916084,0.416666667,0.333333333,0.064676617,0.079207921,0.081913494
